locus	cds_index	gene	product	length_aa
KL302_ESC_WB6700AA_AS	49	gnd	gluconate-6-phosphate dehydrogenase	468
KL302_ESC_WB6700AA_AS	50	?	hypothetical protein	90
KL303_ESC_JB0772AA_AS	0	?	hypothetical protein	107
KL303_ESC_JB0772AA_AS	1	galF	UDP-glucose pyrophosphorylase	297
KL303_ESC_JB0772AA_AS	2	?	hypothetical protein	57
KL303_ESC_JB0772AA_AS	3	?	hypothetical protein	218
KL303_ESC_JB0772AA_AS	4	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	411
KL303_ESC_JB0772AA_AS	5	wzx	flippase	443
KL303_ESC_JB0772AA_AS	6	?	hypothetical protein	155
KL303_ESC_JB0772AA_AS	7	?	hypothetical protein	115
KL303_ESC_JB0772AA_AS	8	?	hypothetical protein	134
KL303_ESC_JB0772AA_AS	9	?	hypothetical protein	159
KL303_ESC_JB0772AA_AS	10	?	hypothetical protein	139
KL303_ESC_JB0772AA_AS	11	?	hypothetical protein	130
KL303_ESC_JB0772AA_AS	12	?	hypothetical protein	189
KL303_ESC_JB0772AA_AS	13	?	hypothetical protein	68
KL303_ESC_JB0772AA_AS	14	?	hypothetical protein	200
KL303_ESC_JB0772AA_AS	15	?	hypothetical protein	494
KL303_ESC_JB0772AA_AS	16	?	hypothetical protein	290
KL303_ESC_JB0772AA_AS	17	?	hypothetical protein	1039
KL303_ESC_JB0772AA_AS	18	?	hypothetical protein	838
KL303_ESC_JB0772AA_AS	19	?	hypothetical protein	151
KL303_ESC_JB0772AA_AS	20	?	hypothetical protein	77
KL303_ESC_JB0772AA_AS	21	?	hypothetical protein	272
KL303_ESC_JB0772AA_AS	22	?	hypothetical protein	161
KL303_ESC_JB0772AA_AS	23	?	hypothetical protein	158
KL303_ESC_JB0772AA_AS	24	?	hypothetical protein	73
KL303_ESC_JB0772AA_AS	25	?	hypothetical protein	37
KL303_ESC_JB0772AA_AS	26	?	hypothetical protein	122
KL303_ESC_JB0772AA_AS	27	?	hypothetical protein	125
KL303_ESC_JB0772AA_AS	28	?	hypothetical protein	67
KL303_ESC_JB0772AA_AS	29	?	hypothetical protein	88
KL303_ESC_JB0772AA_AS	30	?	hypothetical protein	109
KL303_ESC_JB0772AA_AS	31	?	hypothetical protein	352
KL303_ESC_JB0772AA_AS	32	?	hypothetical protein	157
KL303_ESC_JB0772AA_AS	33	?	hypothetical protein	388
KL303_ESC_JB0772AA_AS	34	?	hypothetical protein	475
KL303_ESC_JB0772AA_AS	35	?	hypothetical protein	75
KL303_ESC_JB0772AA_AS	36	?	hypothetical protein	334
KL303_ESC_JB0772AA_AS	37	?	hypothetical protein	452
KL303_ESC_JB0772AA_AS	38	?	hypothetical protein	309
KL303_ESC_JB0772AA_AS	39	?	hypothetical protein	274
KL303_ESC_JB0772AA_AS	40	?	hypothetical protein	84
KL303_ESC_JB0772AA_AS	41	?	hypothetical protein	83
KL303_ESC_JB0772AA_AS	42	?	hypothetical protein	299
KL303_ESC_JB0772AA_AS	43	?	hypothetical protein	434
KL303_ESC_JB0772AA_AS	44	?	hypothetical protein	356
KL303_ESC_JB0772AA_AS	45	?	hypothetical protein	355
KL303_ESC_JB0772AA_AS	46	?	hypothetical protein	196
KL303_ESC_JB0772AA_AS	47	?	hypothetical protein	245
KL303_ESC_JB0772AA_AS	48	?	hypothetical protein	258
KL303_ESC_JB0772AA_AS	49	?	hypothetical protein	203
KL303_ESC_JB0772AA_AS	50	?	hypothetical protein	325
KL303_ESC_JB0772AA_AS	51	ugd	UDP-glucose 6-dehydrogenase	388
KL303_ESC_JB0772AA_AS	52	gnd	gluconate-6-phosphate dehydrogenase	468
KL304_ESC_CC4280AA_AS	0	wzx	flippase	34
KL304_ESC_CC4280AA_AS	1	galF	UDP-glucose pyrophosphorylase	297
KL304_ESC_CC4280AA_AS	2	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL304_ESC_CC4280AA_AS	3	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL304_ESC_CC4280AA_AS	4	wcuA	colanic acid biosynthesis protein	426
KL304_ESC_CC4280AA_AS	5	wzx_2	flippase	492
KL304_ESC_CC4280AA_AS	6	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL304_ESC_CC4280AA_AS	7	manB	phosphomannomutase	456
KL304_ESC_CC4280AA_AS	8	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL304_ESC_CC4280AA_AS	9	wcaI	glycosyl transferase	407
KL304_ESC_CC4280AA_AS	10	gmm	GDP-mannose mannosyl hydrolase	160
KL304_ESC_CC4280AA_AS	11	wcaG	GDP-fucose synthetase	321
KL304_ESC_CC4280AA_AS	12	gmd	GDP-D-mannose dehydratase	373
KL304_ESC_CC4280AA_AS	13	wcqU	Putative acetyltransferase	182
KL304_ESC_CC4280AA_AS	14	?	hypothetical protein	248
KL304_ESC_CC4280AA_AS	15	?	hypothetical protein	405
KL304_ESC_CC4280AA_AS	16	?	hypothetical protein	405
KL304_ESC_CC4280AA_AS	17	wcqN	Serine acetyltransferase	162
KL304_ESC_CC4280AA_AS	18	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL304_ESC_CC4280AA_AS	19	wzc	tyrosine-protein kinase	720
KL304_ESC_CC4280AA_AS	20	wzb	protein tyrosine phosphatase	147
KL304_ESC_CC4280AA_AS	21	wza	putative capsule polysaccharide export protein	379
KL304_ESC_CC4280AA_AS	22	?	hypothetical protein	527
KL304_ESC_CC4280AA_AS	23	?	hypothetical protein	617
KL304_ESC_CC4280AA_AS	24	?	hypothetical protein	193
KL304_ESC_CC4280AA_AS	25	?	hypothetical protein	213
KL304_ESC_CC4280AA_AS	26	?	hypothetical protein	1105
KL304_ESC_CC4280AA_AS	27	?	hypothetical protein	285
KL304_ESC_CC4280AA_AS	28	?	hypothetical protein	450
KL304_ESC_CC4280AA_AS	29	?	hypothetical protein	646
KL304_ESC_CC4280AA_AS	30	?	hypothetical protein	226
KL304_ESC_CC4280AA_AS	31	?	hypothetical protein	219
KL304_ESC_CC4280AA_AS	32	?	hypothetical protein	355
KL304_ESC_CC4280AA_AS	33	?	hypothetical protein	213
KL304_ESC_CC4280AA_AS	34	?	hypothetical protein	400
KL304_ESC_CC4280AA_AS	35	?	hypothetical protein	262
KL304_ESC_CC4280AA_AS	36	?	hypothetical protein	194
KL304_ESC_CC4280AA_AS	37	wctE	GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase	242
KL304_ESC_CC4280AA_AS	38	?	hypothetical protein	242
KL304_ESC_CC4280AA_AS	39	?	hypothetical protein	189
KL304_ESC_CC4280AA_AS	40	wcsK	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,4-galactosyltransferase	237
KL304_ESC_CC4280AA_AS	41	wbaZ_2	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	398
KL304_ESC_CC4280AA_AS	42	gnd	gluconate-6-phosphate dehydrogenase	468
KL304_ESC_CC4280AA_AS	43	ugd	UDP-glucose 6-dehydrogenase	84
KL305_ESC_BA8240AA_AS	0	?	hypothetical protein	107
KL305_ESC_BA8240AA_AS	1	galF	UDP-glucose pyrophosphorylase	297
KL305_ESC_BA8240AA_AS	2	?	hypothetical protein	374
KL305_ESC_BA8240AA_AS	3	rmlB	dTDP-glucose 4,6-dehydratase 2	239
KL305_ESC_BA8240AA_AS	4	?	hypothetical protein	523
KL305_ESC_BA8240AA_AS	5	?	hypothetical protein	290
KL305_ESC_BA8240AA_AS	6	?	hypothetical protein	948
KL305_ESC_BA8240AA_AS	7	?	hypothetical protein	272
KL305_ESC_BA8240AA_AS	8	?	hypothetical protein	161
KL305_ESC_BA8240AA_AS	9	?	hypothetical protein	158
KL305_ESC_BA8240AA_AS	10	?	hypothetical protein	73
KL305_ESC_BA8240AA_AS	11	?	hypothetical protein	122
KL305_ESC_BA8240AA_AS	12	?	hypothetical protein	87
KL305_ESC_BA8240AA_AS	13	?	hypothetical protein	64
KL305_ESC_BA8240AA_AS	14	?	hypothetical protein	109
KL305_ESC_BA8240AA_AS	15	?	hypothetical protein	352
KL305_ESC_BA8240AA_AS	16	?	hypothetical protein	157
KL305_ESC_BA8240AA_AS	17	?	hypothetical protein	388
KL305_ESC_BA8240AA_AS	18	?	hypothetical protein	475
KL305_ESC_BA8240AA_AS	19	?	hypothetical protein	75
KL305_ESC_BA8240AA_AS	20	?	hypothetical protein	334
KL305_ESC_BA8240AA_AS	21	?	hypothetical protein	452
KL305_ESC_BA8240AA_AS	22	?	hypothetical protein	316
KL305_ESC_BA8240AA_AS	23	?	hypothetical protein	274
KL305_ESC_BA8240AA_AS	24	?	hypothetical protein	84
KL305_ESC_BA8240AA_AS	25	?	hypothetical protein	83
KL305_ESC_BA8240AA_AS	26	?	hypothetical protein	299
KL305_ESC_BA8240AA_AS	27	?	hypothetical protein	434
KL305_ESC_BA8240AA_AS	28	?	hypothetical protein	356
KL305_ESC_BA8240AA_AS	29	?	hypothetical protein	355
KL305_ESC_BA8240AA_AS	30	?	hypothetical protein	196
KL305_ESC_BA8240AA_AS	31	?	hypothetical protein	245
KL305_ESC_BA8240AA_AS	32	?	hypothetical protein	258
KL305_ESC_BA8240AA_AS	33	?	hypothetical protein	202
KL305_ESC_BA8240AA_AS	34	?	hypothetical protein	371
KL305_ESC_BA8240AA_AS	35	wcuE	D-inositol 3-phosphate glycosyltransferase	385
KL305_ESC_BA8240AA_AS	36	?	hypothetical protein	1213
KL305_ESC_BA8240AA_AS	37	?	hypothetical protein	425
KL305_ESC_BA8240AA_AS	38	?	hypothetical protein	404
KL305_ESC_BA8240AA_AS	39	?	hypothetical protein	264
KL305_ESC_BA8240AA_AS	40	manB	phosphomannomutase	458
KL305_ESC_BA8240AA_AS	41	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	159
KL305_ESC_BA8240AA_AS	42	manC_2	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	303
KL305_ESC_BA8240AA_AS	43	?	hypothetical protein	94
KL305_ESC_BA8240AA_AS	44	?	hypothetical protein	34
KL305_ESC_BA8240AA_AS	45	?	hypothetical protein	325
KL305_ESC_BA8240AA_AS	46	ugd	UDP-glucose 6-dehydrogenase	388
KL305_ESC_BA8240AA_AS	47	?	hypothetical protein	81
KL305_ESC_BA8240AA_AS	48	gnd	gluconate-6-phosphate dehydrogenase	468
KL305_ESC_BA8240AA_AS	49	wctU	glycosyl transferase	116
KL306_ESC_GB3606AA_AS	0	ugd	UDP-glucose 6-dehydrogenase	83
KL306_ESC_GB3606AA_AS	1	gnd	gluconate-6-phosphate dehydrogenase	468
KL306_ESC_GB3606AA_AS	2	wckG	N-glycosyltransferase	300
KL306_ESC_GB3606AA_AS	3	manB	phosphomannomutase	458
KL306_ESC_GB3606AA_AS	4	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	474
KL306_ESC_GB3606AA_AS	5	?	hypothetical protein	374
KL306_ESC_GB3606AA_AS	6	glf	UDP-galactopyranose mutase	365
KL306_ESC_GB3606AA_AS	7	?	hypothetical protein	428
KL306_ESC_GB3606AA_AS	8	?	hypothetical protein	405
KL306_ESC_GB3606AA_AS	9	?	hypothetical protein	418
KL306_ESC_GB3606AA_AS	10	?	hypothetical protein	253
KL306_ESC_GB3606AA_AS	11	neuA	N-acylneuraminate cytidylyltransferase	231
KL306_ESC_GB3606AA_AS	12	?	hypothetical protein	327
KL306_ESC_GB3606AA_AS	13	?	hypothetical protein	352
KL306_ESC_GB3606AA_AS	14	?	hypothetical protein	215
KL306_ESC_GB3606AA_AS	15	HG293	acetylneuraminic acid synthetase	357
KL306_ESC_GB3606AA_AS	16	?	hypothetical protein	387
KL306_ESC_GB3606AA_AS	17	?	hypothetical protein	380
KL306_ESC_GB3606AA_AS	18	?	hypothetical protein	396
KL306_ESC_GB3606AA_AS	19	galF	UDP-glucose pyrophosphorylase	297
KL306_ESC_GB3606AA_AS	20	?	hypothetical protein	331
KL306_ESC_GB3606AA_AS	21	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL306_ESC_GB3606AA_AS	22	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL306_ESC_GB3606AA_AS	23	wcuA	colanic acid biosynthesis protein	426
KL306_ESC_GB3606AA_AS	24	wzx	flippase	492
KL306_ESC_GB3606AA_AS	25	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL306_ESC_GB3606AA_AS	26	manB_2	phosphomannomutase	456
KL306_ESC_GB3606AA_AS	27	manC_2	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL306_ESC_GB3606AA_AS	28	wcaI	glycosyl transferase	407
KL306_ESC_GB3606AA_AS	29	gmm	GDP-mannose mannosyl hydrolase	160
KL306_ESC_GB3606AA_AS	30	wcaG	GDP-fucose synthetase	321
KL306_ESC_GB3606AA_AS	31	gmd	GDP-D-mannose dehydratase	373
KL306_ESC_GB3606AA_AS	32	wcqU	Putative acetyltransferase	182
KL306_ESC_GB3606AA_AS	33	?	hypothetical protein	248
KL306_ESC_GB3606AA_AS	34	?	hypothetical protein	405
KL306_ESC_GB3606AA_AS	35	?	hypothetical protein	405
KL306_ESC_GB3606AA_AS	36	cysE	Serine acetyltransferase	162
KL306_ESC_GB3606AA_AS	37	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL306_ESC_GB3606AA_AS	38	wzc	tyrosine-protein kinase	720
KL306_ESC_GB3606AA_AS	39	wzb	protein tyrosine phosphatase	147
KL306_ESC_GB3606AA_AS	40	wza	putative capsule polysaccharide export protein	379
KL307_ESC_NB5901AA_AS	0	wza	putative capsule polysaccharide export protein	379
KL307_ESC_NB5901AA_AS	1	wzb	protein tyrosine phosphatase	147
KL307_ESC_NB5901AA_AS	2	wzc	tyrosine-protein kinase	720
KL307_ESC_NB5901AA_AS	3	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL307_ESC_NB5901AA_AS	4	wcqN	Serine acetyltransferase	162
KL307_ESC_NB5901AA_AS	5	?	hypothetical protein	405
KL307_ESC_NB5901AA_AS	6	?	hypothetical protein	405
KL307_ESC_NB5901AA_AS	7	?	hypothetical protein	248
KL307_ESC_NB5901AA_AS	8	wcqU	Putative acetyltransferase	182
KL307_ESC_NB5901AA_AS	9	gmd	GDP-D-mannose dehydratase	373
