cluster	representative	kx_types	n_members	members
11	KX17__ESC_GB3622AA_AS	KX17/KX34	12	KX17__ESC_GB3622AA_AS;KX17__ESC_BA0319AA_AS;KX17__ESC_BA0658AA_AS;KX17__ESC_BA6371AA_AS;KX17__ESC_BA6587AA_AS;KX17__ESC_BA9755AA_AS;KX17__ESC_CA2711AA_AS;KX17__ESC_GB2054AA_AS;KX34__ESC_LB3934AA_AS;KX17__ESC_AA8884AA_AS;KX17__ESC_BA8105AA_AS;KX17__ESC_GB3732AA_AS
12	KX34__ESC_FC6782AA_AS	KX34	1	KX34__ESC_FC6782AA_AS
13	KX34__ESC_NB5415AA_AS	KX17/KX34	6	KX34__ESC_NB5415AA_AS;KX34__ESC_MB1866AA_AS;KX34__ESC_WB6818AA_AS;KX17__ESC_MB4779AA_AS;KX34__ESC_YA6886AA_AS;KX34__ESC_CC8597AA_AS
14	KX34__ESC_JB1165AA_AS	KX31/KX34/KX36/KX72	26	KX34__ESC_JB1165AA_AS;KX36__ESC_BA0655AA_AS;KX36__ESC_FC7100AA_AS;KX36__ESC_BA1352AA_AS;KX36__ESC_IA2247AA_AS;KX36__ESC_WA6904AA_AS;KX36__ESC_BA4298AA_AS;KX36__ESC_EC0650AA_AS;KX36__ESC_EC0851AA_AS;KX36__ESC_GB3699AA_AS;KX31__ESC_GB8718AA_AS;KX72__ESC_XA8369AA_AS;KX36__ESC_TA7144AA_AS;KX36__ESC_BA7469AA_AS;KX36__ESC_EC0673AA_AS;KX36__ESC_CA0116AA_AS;KX36__ESC_LB2159AA_AS;KX36__ESC_GB3766AA_AS;KX34__ESC_GB3770AA_AS;KX36__ESC_LB5922AA_AS;KX34__ESC_FB9098AA_AS;KX36__ESC_GB4103AA_AS;KX36__ESC_HB7174AA_AS;KX36__ESC_TA7156AA_AS;KX36__ESC_XA6471AA_AS;KX36__ESC_CA3327AA_AS
15	KX01__ESC_BA3213AA_AS	KX01/KX17/KX34/KX36/KX50/KX54/KX63	35	KX01__ESC_BA3213AA_AS;KX01__ESC_LB6565AA_AS;KX17__ESC_CA0409AA_AS;KX34__ESC_CA1061AA_AS;KX34__ESC_DC5628AA_AS;KX34__ESC_FB7858AA_AS;KX34__ESC_GA0011AA_AS;KX34__ESC_GB4115AA_AS;KX34__ESC_GB6029AA_AS;KX34__ESC_HA4379AA_AS;KX17__ESC_HA5003AA_AS;KX17__ESC_HA5135AA_AS;KX01__ESC_MB8926AA_AS;KX01__ESC_TA7150AA_AS;KX01__ESC_WB1194AA_AS;KX63__ESC_WB1216AA_AS;KX34__ESC_WB1225AA_AS;KX63__ESC_WB1272AA_AS;KX17__ESC_WB1300AA_AS;KX34__ESC_WB1324AA_AS;KX01__ESC_WB1412AA_AS;KX17__ESC_WB1415AA_AS;KX17__ESC_XA1077AA_AS;KX34__ESC_GB6015AA_AS;KX01__ESC_IA0600AA_AS;KX54__ESC_WB1352AA_AS;KX34__ESC_WB1404AA_AS;KX34__ESC_WB5722AA_AS;KX17__ESC_EC0744AA_AS;KX36__ESC_CA2211AA_AS;KX63__ESC_XA1206AA_AS;KX01__ESC_WB1424AA_AS;KX34__ESC_GB8717AA_AS;KX34__ESC_CA0177AA_AS;KX50__ESC_XA1104AA_AS
16	KX36__ESC_HC1275AA_AS	KX01/KX31/KX34/KX36/KX54/KX67	14	KX36__ESC_HC1275AA_AS;KX31__ESC_IA2231AA_AS;KX31__ESC_WA7047AA_AS;KX34__ESC_CC8386AA_AS;KX34__ESC_VA2150AA_AS;KX67__ESC_ZB6427AA_AS;KX54__ESC_HA5141AA_AS;KX01__ESC_PB2486AA_AS;KX36__ESC_BA1428AA_AS;KX36__ESC_GB4133AA_AS;KX36__ESC_BA6817AA_AS;KX31__ESC_EC0813AA_AS;KX36__ESC_HC1293AA_AS;KX36__ESC_CA3101AA_AS
17	KX17__ESC_XA1399AA_AS	KX17	1	KX17__ESC_XA1399AA_AS
18	KX34__ESC_HC1277AA_AS	KX34/KX36	4	KX34__ESC_HC1277AA_AS;KX36__ESC_BA7338AA_AS;KX36__ESC_BA8430AA_AS;KX36__ESC_GB4093AA_AS
19	KX67__ESC_DC6093AA_AS	KX17/KX67	2	KX67__ESC_DC6093AA_AS;KX17__ESC_XA1323AA_AS
20	KX17__ESC_HC3927AA_AS	KX17/KX36	5	KX17__ESC_HC3927AA_AS;KX17__ESC_CA3948AA_AS;KX36__ESC_EC0740AA_AS;KX36__ESC_HA5073AA_AS;KX36__ESC_BA9017AA_AS
21	unknown__ESC_ZB9551AA_AS	KX17/KX31/KX36/KX54/unknown	8	unknown__ESC_ZB9551AA_AS;KX36__ESC_HC1465AA_AS;KX17__ESC_CA0915AA_AS;KX31__ESC_BA1308AA_AS;KX54__ESC_BA9392AA_AS;KX54__ESC_CA1889AA_AS;KX54__ESC_GB8706AA_AS;KX54__ESC_HA5164AA_AS
22	KX36__ESC_BA3379AA_AS	KX36	3	KX36__ESC_BA3379AA_AS;KX36__ESC_CC8113AA_AS;KX36__ESC_GB6528AA_AS
23	KX17__ESC_GB3932AA_AS	KX01/KX17/KX34/KX36/KX67	9	KX17__ESC_GB3932AA_AS;KX01__ESC_BA7881AA_AS;KX36__ESC_GB8709AA_AS;KX67__ESC_HA2504AA_AS;KX36__ESC_WA6884AA_AS;KX36__ESC_CA6255AA_AS;KX34__ESC_GB4125AA_AS;KX36__ESC_BA5029AA_AS;KX36__ESC_HC4084AA_AS
24	KX67__ESC_EC0847AA_AS	KX67	1	KX67__ESC_EC0847AA_AS
25	KX01__ESC_GB2085AA_AS	KX01	8	KX01__ESC_GB2085AA_AS;KX01__ESC_WA4378AA_AS;KX01__ESC_AA8494AA_AS;KX01__ESC_EC0710AA_AS;KX01__ESC_EC0854AA_AS;KX01__ESC_GB6881AA_AS;KX01__ESC_WA4385AA_AS;KX01__ESC_BA8818AA_AS
26	KX34__ESC_BA3683AA_AS	KX34	2	KX34__ESC_BA3683AA_AS;KX34__ESC_CC4244AA_AS
27	KX72__ESC_EC0660AA_AS	KX72	3	KX72__ESC_EC0660AA_AS;KX72__ESC_AA9897AA_AS;KX72__ESC_CA1814AA_AS
28	KX36__ESC_EC0767AA_AS	KX36/KX72	2	KX36__ESC_EC0767AA_AS;KX72__ESC_BA4651AA_AS
29	KX63__ESC_HA5081AA_AS	KX63	1	KX63__ESC_HA5081AA_AS
30	KX17__ESC_TA7171AA_AS	KX01/KX17	2	KX17__ESC_TA7171AA_AS;KX01__ESC_XA1283AA_AS
31	KX34__ESC_LB3396AA_AS	KX34	1	KX34__ESC_LB3396AA_AS
32	unknown__ESC_XA1123AA_AS	KX17/KX40/KX67/KX72/unknown	9	unknown__ESC_XA1123AA_AS;KX40__ESC_CA4899AA_AS;KX72__ESC_BA0749AA_AS;KX72__ESC_BA1278AA_AS;KX72__ESC_BA3523AA_AS;KX72__ESC_HA5144AA_AS;KX72__ESC_YA5408AA_AS;KX17__ESC_GB6455AA_AS;KX67__ESC_XA1265AA_AS
33	KX36__ESC_CC2683AA_AS	KX34/KX36	7	KX36__ESC_CC2683AA_AS;KX36__ESC_EC0795AA_AS;KX36__ESC_AC1591AA_AS;KX34__ESC_GB3581AA_AS;KX36__ESC_HA5106AA_AS;KX36__ESC_XA1020AA_AS;KX36__ESC_GB3588AA_AS
34	KX34__ESC_GB4167AA_AS	KX34/KX36	4	KX34__ESC_GB4167AA_AS;KX34__ESC_DC6125AA_AS;KX34__ESC_FB7653AA_AS;KX36__ESC_YA3619AA_AS
35	KX34__ESC_XA1035AA_AS	KX17/KX34/KX36	6	KX34__ESC_XA1035AA_AS;KX36__ESC_XA6506AA_AS;KX36__ESC_GB4107AA_AS;KX17__ESC_CA3898AA_AS;KX36__ESC_AA8389AA_AS;KX34__ESC_CC7991AA_AS
36	KX67__ESC_BA1760AA_AS	KX67	1	KX67__ESC_BA1760AA_AS
37	KX34__ESC_FB9337AA_AS	KX34/KX36	21	KX34__ESC_FB9337AA_AS;KX36__ESC_AA9395AA_AS;KX36__ESC_AA8079AA_AS;KX36__ESC_AA8801AA_AS;KX36__ESC_AA8989AA_AS;KX36__ESC_AA9127AA_AS;KX36__ESC_BA5912AA_AS;KX36__ESC_BA9945AA_AS;KX34__ESC_CC4343AA_AS;KX36__ESC_EC0747AA_AS;KX36__ESC_EC0770AA_AS;KX36__ESC_EC0804AA_AS;KX36__ESC_EC0866AA_AS;KX34__ESC_GB3591AA_AS;KX36__ESC_GB3632AA_AS;KX36__ESC_GC3733AA_AS;KX36__ESC_HA5066AA_AS;KX36__ESC_HC1369AA_AS;KX36__ESC_ZB6452AA_AS;KX34__ESC_TA7124AA_AS;KX36__ESC_GC2275AA_AS
38	KX36__ESC_IA2252AA_AS	KX17/KX36	2	KX36__ESC_IA2252AA_AS;KX17__ESC_GB6481AA_AS
39	KX17__ESC_HC4104AA_AS	KX17/KX36	3	KX17__ESC_HC4104AA_AS;KX17__ESC_AA9527AA_AS;KX36__ESC_GB3768AA_AS
40	KX01__ESC_HC1258AA_AS	KX01/KX17/KX36	4	KX01__ESC_HC1258AA_AS;KX36__ESC_HC4077AA_AS;KX01__ESC_BA5243AA_AS;KX17__ESC_GB6473AA_AS
41	KX36__ESC_HC3951AA_AS	KX36	1	KX36__ESC_HC3951AA_AS
42	KX31__ESC_AA8873AA_AS	KX31	3	KX31__ESC_AA8873AA_AS;KX31__ESC_BA5327AA_AS;KX31__ESC_YA3476AA_AS
43	KX36__ESC_CA6193AA_AS	KX01/KX17/KX36/KX67	7	KX36__ESC_CA6193AA_AS;KX01__ESC_HA5160AA_AS;KX17__ESC_BA0615AA_AS;KX17__ESC_FC7026AA_AS;KX17__ESC_FC7029AA_AS;KX36__ESC_LB5928AA_AS;KX67__ESC_CA6144AA_AS
44	KX36__ESC_ZB9566AA_AS	KX36	1	KX36__ESC_ZB9566AA_AS
45	KX34__ESC_HA7094AA_AS	KX34/KX36	2	KX34__ESC_HA7094AA_AS;KX36__ESC_WA4367AA_AS
46	KX72__ESC_HC4073AA_AS	KX72	1	KX72__ESC_HC4073AA_AS
47	KX28__ESC_ZB9557AA_AS	KX28	1	KX28__ESC_ZB9557AA_AS
48	K24__ESC_DC5648AA_AS	K24	1	K24__ESC_DC5648AA_AS
49	KX31__ESC_CA5061AA_AS	KX31/KX36	4	KX31__ESC_CA5061AA_AS;KX31__ESC_JB1154AA_AS;KX36__ESC_BA8585AA_AS;KX36__ESC_HC4157AA_AS
50	KX36__ESC_IB0582AA_AS	KX36	2	KX36__ESC_IB0582AA_AS;KX36__ESC_CA4820AA_AS
51	KX34__ESC_HB5682AA_AS	KX17/KX34	2	KX34__ESC_HB5682AA_AS;KX17__ESC_CA6191AA_AS
52	KX31__ESC_BA9947AA_AS	K24/KX31/KX34/KX36/KX72	9	KX31__ESC_BA9947AA_AS;KX72__ESC_HC4047AA_AS;K24__ESC_BA9640AA_AS;KX36__ESC_BA8808AA_AS;KX36__ESC_GB3722AA_AS;KX36__ESC_BA3969AA_AS;KX34__ESC_DC6054AA_AS;KX36__ESC_LB6080AA_AS;KX34__ESC_ZB9579AA_AS
53	KX31__ESC_BA7931AA_AS	KX01/KX31/KX36/KX67	11	KX31__ESC_BA7931AA_AS;KX31__ESC_CA4745AA_AS;KX31__ESC_XA1002AA_AS;KX31__ESC_XA1193AA_AS;KX01__ESC_GA4750AA_AS;KX36__ESC_EC0696AA_AS;KX36__ESC_EC0754AA_AS;KX36__ESC_EC0771AA_AS;KX01__ESC_GB4091AA_AS;KX67__ESC_BA6469AA_AS;KX31__ESC_FC6752AA_AS
54	KX34__ESC_FA6287AA_AS	KX17/KX34	7	KX34__ESC_FA6287AA_AS;KX34__ESC_CC7959AA_AS;KX34__ESC_CC8145AA_AS;KX34__ESC_CC9064AA_AS;KX34__ESC_FB4113AA_AS;KX17__ESC_HC1260AA_AS;KX34__ESC_PB2615AA_AS
55	KX34__ESC_GB3659AA_AS	KX01/KX17/KX34/KX67	9	KX34__ESC_GB3659AA_AS;KX01__ESC_JB8349AA_AS;KX34__ESC_TA7172AA_AS;KX17__ESC_WA9517AA_AS;KX34__ESC_XB0826AA_AS;KX17__ESC_HC4044AA_AS;KX17__ESC_HC4192AA_AS;KX67__ESC_HC1577AA_AS;KX17__ESC_GB6573AA_AS
56	KX72__ESC_AA9900AA_AS	KX36/KX72	3	KX72__ESC_AA9900AA_AS;KX72__ESC_GB4119AA_AS;KX36__ESC_AA9002AA_AS
57	KX72__ESC_OB3649AA_AS	KX72	1	KX72__ESC_OB3649AA_AS
58	KX36__ESC_YA5604AA_AS	KX36	1	KX36__ESC_YA5604AA_AS
59	KX72__ESC_CA1704AA_AS	KX72	1	KX72__ESC_CA1704AA_AS
60	KX36__ESC_HA5104AA_AS	KX36	1	KX36__ESC_HA5104AA_AS
61	KX36__ESC_BA4837AA_AS	KX17/KX36/KX67	4	KX36__ESC_BA4837AA_AS;KX17__ESC_CA2387AA_AS;KX17__ESC_CA4061AA_AS;KX67__ESC_BA6110AA_AS
62	KX01__ESC_LB2118AA_AS	KX01	1	KX01__ESC_LB2118AA_AS
63	KX17__ESC_GB3752AA_AS	KX17/KX36	2	KX17__ESC_GB3752AA_AS;KX36__ESC_XA1112AA_AS
64	KX36__ESC_GB2084AA_AS	KX01/KX36	2	KX36__ESC_GB2084AA_AS;KX01__ESC_HA5000AA_AS
65	KX34__ESC_WA5785AA_AS	KX34/KX36	5	KX34__ESC_WA5785AA_AS;KX36__ESC_BA0186AA_AS;KX36__ESC_ZB9541AA_AS;KX36__ESC_BA6003AA_AS;KX36__ESC_EC0818AA_AS
66	KX36__ESC_CC1828AA_AS	KX34/KX36	4	KX36__ESC_CC1828AA_AS;KX34__ESC_PB2481AA_AS;KX34__ESC_PB2491AA_AS;KX34__ESC_PB2492AA_AS
67	KX34__ESC_HC1298AA_AS	KX01/KX17/KX34/KX36/KX67	11	KX34__ESC_HC1298AA_AS;KX36__ESC_AA8289AA_AS;KX36__ESC_GB4102AA_AS;KX36__ESC_HC4078AA_AS;KX01__ESC_OB3625AA_AS;KX36__ESC_BA5170AA_AS;KX36__ESC_HC4140AA_AS;KX67__ESC_HA5042AA_AS;KX67__ESC_GC7644AA_AS;KX36__ESC_XA1173AA_AS;KX17__ESC_WA5681AA_AS
68	KX01__ESC_FA9985AA_AS	KX01/KX36	4	KX01__ESC_FA9985AA_AS;KX36__ESC_HC4011AA_AS;KX36__ESC_HA5068AA_AS;KX36__ESC_LB6059AA_AS
69	KX67__ESC_CA2141AA_AS	KX36/KX67	3	KX67__ESC_CA2141AA_AS;KX36__ESC_GB6950AA_AS;KX67__ESC_CA5851AA_AS
70	KX36__ESC_HC4032AA_AS	KX34/KX36	4	KX36__ESC_HC4032AA_AS;KX36__ESC_EC0842AA_AS;KX36__ESC_GB6927AA_AS;KX34__ESC_HA4999AA_AS
71	KX17__ESC_XA1315AA_AS	KX17/KX54	3	KX17__ESC_XA1315AA_AS;KX54__ESC_XA1320AA_AS;KX54__ESC_CA5292AA_AS
72	KX31__ESC_CA3710AA_AS	KX31/KX34/KX67	5	KX31__ESC_CA3710AA_AS;KX31__ESC_EC0677AA_AS;KX67__ESC_HA5150AA_AS;KX34__ESC_EC0791AA_AS;KX34__ESC_BA1311AA_AS
73	unknown__ESC_HA4988AA_AS	unknown	1	unknown__ESC_HA4988AA_AS
74	KX01__ESC_BA3744AA_AS	KX01/KX36	2	KX01__ESC_BA3744AA_AS;KX36__ESC_CA2226AA_AS
75	unknown__ESC_AA8368AA_AS	KX36/unknown	2	unknown__ESC_AA8368AA_AS;KX36__ESC_EC0752AA_AS
76	KX36__ESC_GB4143AA_AS	KX17/KX36	4	KX36__ESC_GB4143AA_AS;KX36__ESC_GB3702AA_AS;KX17__ESC_HA5040AA_AS;KX36__ESC_LB6070AA_AS
77	KX01__ESC_HC4089AA_AS	KX01	1	KX01__ESC_HC4089AA_AS
78	KX17__ESC_BA0791AA_AS	KX17/KX36	2	KX17__ESC_BA0791AA_AS;KX36__ESC_GB3731AA_AS
79	KX17__ESC_HA5130AA_AS	K24/KX17/unknown	5	KX17__ESC_HA5130AA_AS;unknown__ESC_GB8661AA_AS;KX17__ESC_HA5126AA_AS;K24__ESC_XA1038AA_AS;KX17__ESC_EC0852AA_AS
80	KX67__ESC_WA6954AA_AS	KX36/KX67	2	KX67__ESC_WA6954AA_AS;KX36__ESC_BA8567AA_AS
81	KX17__ESC_EC9001AA_AS	KX01/KX17	4	KX17__ESC_EC9001AA_AS;KX01__ESC_EC0726AA_AS;KX17__ESC_BA3518AA_AS;KX17__ESC_HC4075AA_AS
82	KX36__ESC_CA3845AA_AS	KX01/KX36	2	KX36__ESC_CA3845AA_AS;KX01__ESC_HC3925AA_AS
83	KX36__ESC_GB3693AA_AS	KX36	1	KX36__ESC_GB3693AA_AS
84	KX17__ESC_HC1617AA_AS	KX17/KX34	3	KX17__ESC_HC1617AA_AS;KX34__ESC_CC8106AA_AS;KX34__ESC_LB3384AA_AS
85	KX17__ESC_HA5093AA_AS	KX17	1	KX17__ESC_HA5093AA_AS
86	KX36__ESC_AA8473AA_AS	KX36	2	KX36__ESC_AA8473AA_AS;KX36__ESC_HC4023AA_AS
87	KX34__ESC_WA4407AA_AS	KX17/KX34	2	KX34__ESC_WA4407AA_AS;KX17__ESC_BA0781AA_AS
88	KX01__ESC_CA6234AA_AS	KX01/KX31/KX34/KX36	5	KX01__ESC_CA6234AA_AS;KX31__ESC_CA4386AA_AS;KX34__ESC_HA1967AA_AS;KX36__ESC_CA2963AA_AS;KX36__ESC_EC0719AA_AS
89	KX01__ESC_HA0394AA_AS	KX01	2	KX01__ESC_HA0394AA_AS;KX01__ESC_LB3352AA_AS
90	KX36__ESC_CA2953AA_AS	KX36	1	KX36__ESC_CA2953AA_AS
91	KX36__ESC_BA3964AA_AS	KX36	2	KX36__ESC_BA3964AA_AS;KX36__ESC_WA6880AA_AS
92	KX34__ESC_WA5670AA_AS	KX34	1	KX34__ESC_WA5670AA_AS
93	KX17__ESC_CA1035AA_AS	KX17	2	KX17__ESC_CA1035AA_AS;KX17__ESC_CA4223AA_AS
94	KX34__ESC_WA5787AA_AS	KX34	1	KX34__ESC_WA5787AA_AS
95	KX36__ESC_CA5441AA_AS	KX36	1	KX36__ESC_CA5441AA_AS
96	KX31__ESC_CC4751AA_AS	KX31	1	KX31__ESC_CC4751AA_AS
97	KX67__ESC_DC6018AA_AS	KX67	1	KX67__ESC_DC6018AA_AS
98	KX01__ESC_HA5009AA_AS	K24/KX01	2	KX01__ESC_HA5009AA_AS;K24__ESC_BA7507AA_AS
99	KX36__ESC_GB6942AA_AS	KX36	1	KX36__ESC_GB6942AA_AS
100	KX36__ESC_GB3741AA_AS	KX36	1	KX36__ESC_GB3741AA_AS
101	KX01__ESC_LB6058AA_AS	KX01/KX17	2	KX01__ESC_LB6058AA_AS;KX17__ESC_GB3694AA_AS
102	KX34__ESC_CC3908AA_AS	KX34	1	KX34__ESC_CC3908AA_AS
103	KX36__ESC_BA1418AA_AS	KX36	1	KX36__ESC_BA1418AA_AS
104	KX36__ESC_FC6765AA_AS	KX36	1	KX36__ESC_FC6765AA_AS
105	KX36__ESC_GB3597AA_AS	KX36	1	KX36__ESC_GB3597AA_AS
106	KX17__ESC_FC8488AA_AS	KX17	8	KX17__ESC_FC8488AA_AS;KX17__ESC_FC8604AA_AS;KX17__ESC_VB5118AA_AS;KX17__ESC_FC8481AA_AS;KX17__ESC_FC8596AA_AS;KX17__ESC_FC8600AA_AS;KX17__ESC_WB4302AA_AS;KX17__ESC_YA0881AA_AS
107	KX36__ESC_XA1402AA_AS	KX36	1	KX36__ESC_XA1402AA_AS
108	KX36__ESC_AA9964AA_AS	KX36	1	KX36__ESC_AA9964AA_AS
109	KX17__ESC_XA6453AA_AS	KX17	1	KX17__ESC_XA6453AA_AS
110	KX36__ESC_CA1590AA_AS	KX17/KX36	2	KX36__ESC_CA1590AA_AS;KX17__ESC_HC4159AA_AS
111	KX01__ESC_GB3635AA_AS	KX01	1	KX01__ESC_GB3635AA_AS
112	KX01__ESC_HC3986AA_AS	KX01	2	KX01__ESC_HC3986AA_AS;KX01__ESC_HC3987AA_AS
113	KX36__ESC_GB3703AA_AS	KX36	1	KX36__ESC_GB3703AA_AS
114	KX34__ESC_PA1078AA_AS	KX34	1	KX34__ESC_PA1078AA_AS
115	KX36__ESC_TA7130AA_AS	KX36	1	KX36__ESC_TA7130AA_AS
116	KX01__ESC_EC0712AA_AS	KX01	1	KX01__ESC_EC0712AA_AS
117	KX36__ESC_GB8682AA_AS	KX36	1	KX36__ESC_GB8682AA_AS
118	KX72__ESC_TA7195AA_AS	KX72	1	KX72__ESC_TA7195AA_AS
119	KX01__ESC_GB6472AA_AS	KX01	1	KX01__ESC_GB6472AA_AS
120	KX34__ESC_GB4080AA_AS	KX17/KX34	2	KX34__ESC_GB4080AA_AS;KX17__ESC_HA9309AA_AS
121	KX67__ESC_PA1100AA_AS	KX67	1	KX67__ESC_PA1100AA_AS
122	KX36__ESC_LB5924AA_AS	KX36	1	KX36__ESC_LB5924AA_AS
123	KX17__ESC_GB6433AA_AS	KX17	1	KX17__ESC_GB6433AA_AS
124	KX34__ESC_CC8109AA_AS	KX34	1	KX34__ESC_CC8109AA_AS
125	KX36__ESC_IB6789AA_AS	KX36	2	KX36__ESC_IB6789AA_AS;KX36__ESC_EC0720AA_AS
