Assembly	Collection	Best_match_locus	Capsule_group	Confidence	Norm_AS	Genes_found	Genes_expected	Gene_coverage	Raw_AS	Typeable
ERR4920148	Barnards	KL127	G2/G3	Moderate	1.8917	14	14	100.0%	26838	True
ESC_WC6654AA_AS.resul	Benin	KL329	G1/G4	Moderate	1.7532	39	44	88.6%	58018	True
ESC_WC6655AA_AS.resul	Benin	KL127	G2/G3	High	1.9187	14	14	100.0%	27220	True
ESC_WC6656AA_AS.resul	Benin	KL7	G2/G3	High	1.9948	15	15	100.0%	34422	True
ESC_WC6664AA_AS.resul	Benin	KL118	G2/G3	High	1.9611	12	12	100.0%	27640	True
ESC_WC6665AA_AS.resul	Benin	KL302	G1/G4	Moderate	1.8112	33	34	97.1%	55342	True
ESC_WC6666AA_AS.resul	Benin	KL24	G2/G3	Moderate	1.8578	13	13	100.0%	26362	True
ESC_WC6667AA_AS.resul	Benin	KL303	G1/G4	Low	1.4599	35	40	87.5%	43358	True
ESC_WC6668AA_AS.resul	Benin	KL329	G1/G4	High	1.9995	44	44	100.0%	66170	True
ESC_WC6669AA_AS.resul	Benin	KL12	G2/G3	High	1.9838	12	12	100.0%	31804	True
ESC_WC6672AA_AS.resul	Benin	KL52	G2/G3	Moderate	1.8583	14	14	100.0%	35674	True
ESC_WC6673AA_AS.resul	Benin	KL302	G1/G4	Moderate	1.7799	33	34	97.1%	54384	True
ESC_WC6674AA_AS.resul	Benin	KL302	G1/G4	Moderate	1.7533	31	34	91.2%	53572	True
ESC_WC6675AA_AS.resul	Benin	KL337	G1/G4	Low	1.417	29	38	76.3%	40456	True
ESC_WC6676AA_AS.resul	Benin	KL117	G2/G3	High	1.9996	10	10	100.0%	27558	True
ESC_WC6677AA_AS.resul	Benin	KL329	G1/G4	High	1.9997	44	44	100.0%	66176	True
ESC_WC6678AA_AS.resul	Benin	KL329	G1/G4	Moderate	1.7537	39	44	88.6%	58036	True
ESC_WC6679AA_AS.resul	Benin	KL127	G2/G3	High	1.969	14	14	100.0%	27934	True
ESC_WC6680AA_AS.resul	Benin	KL15	G2/G3	High	1.9945	15	15	100.0%	31096	True
ESC_WC6715AA_AS.resul	Benin	KL387	G1/G4	Low	1.2126	23	35	65.7%	32736	True
ESC_WC6716AA_AS.resul	Benin	KL302	G1/G4	Moderate	1.7502	32	34	94.1%	53476	True
ESC_DD3617AA_AS.resul	CHAMPS_Harar	KL12	G2/G3	High	2.0	12	12	100.0%	32064	True
ESC_DD3618AA_AS.resul	CHAMPS_Harar	KL313	G1/G4	High	1.903	33	33	100.0%	63754	True
ESC_DD3619AA_AS.resul	CHAMPS_Harar	KL336	G1/G4	High	1.9032	28	28	100.0%	58722	True
ESC_DD3620AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Moderate	1.5174	25	33	75.8%	45982	True
ESC_DD3621AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.7718	31	34	91.2%	54138	True
ESC_DD3622AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8237	33	34	97.1%	55722	True
ESC_DD3624AA_AS.resul	CHAMPS_Harar	KL303	G1/G4	Moderate	1.5947	36	40	90.0%	47364	True
ESC_DD3625AA_AS.resul	CHAMPS_Harar	KL127	G2/G3	High	1.9986	14	14	100.0%	28354	True
ESC_DD3626AA_AS.resul	CHAMPS_Harar	KL96	G2/G3	High	1.9991	17	17	100.0%	41016	True
ESC_DD3627AA_AS.resul	CHAMPS_Harar	KL12	G2/G3	High	1.9996	12	12	100.0%	32058	True
ESC_DD3628AA_AS.resul	CHAMPS_Harar	KL303	G1/G4	Moderate	1.535	35	40	87.5%	45590	True
ESC_DD3629AA_AS.resul	CHAMPS_Harar	KL303	G1/G4	Low	0.8784	28	40	70.0%	26087	True
ESC_DD3631AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8136	33	34	97.1%	55416	True
ESC_DD3632AA_AS.resul	CHAMPS_Harar	KL138	G2/G3	High	1.9561	12	12	100.0%	29406	True
ESC_DD3633AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.7888	32	34	94.1%	54658	True
ESC_DD3635AA_AS.resul	CHAMPS_Harar	KL24	G2/G3	High	1.9177	13	13	100.0%	27212	True
ESC_DD3637AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.783	31	34	91.2%	54480	True
ESC_DD3638AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Moderate	1.5174	25	33	75.8%	45982	True
ESC_DD3639AA_AS.resul	CHAMPS_Harar	KL138	G2/G3	High	1.9561	12	12	100.0%	29406	True
ESC_DD3641AA_AS.resul	CHAMPS_Harar	KL135	G2/G3	High	1.9981	11	11	100.0%	25848	True
ESC_DD3642AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.7769	31	34	91.2%	54294	True
ESC_DD3644AA_AS.resul	CHAMPS_Harar	KL96	G2/G3	High	1.9947	17	17	100.0%	40926	True
ESC_DD3645AA_AS.resul	CHAMPS_Harar	KL303	G1/G4	Low	1.384	35	40	87.5%	41104	True
ESC_DD3646AA_AS.resul	CHAMPS_Harar	KL303	G1/G4	Low	1.436	34	40	85.0%	42649	True
ESC_DD3647AA_AS.resul	CHAMPS_Harar	KL135	G2/G3	High	1.9981	11	11	100.0%	25848	True
ESC_DD3648AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8481	33	34	97.1%	56468	True
ESC_DD3651AA_AS.resul	CHAMPS_Harar	KL327	G1/G4	Moderate	1.8345	33	33	100.0%	56296	True
ESC_DD3652AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8027	33	34	97.1%	55082	True
ESC_DD3653AA_AS.resul	CHAMPS_Harar	KL2	G2/G3	High	1.997	13	13	100.0%	33400	True
ESC_DD3654AA_AS.resul	CHAMPS_Harar	KL2	G2/G3	High	1.9982	13	13	100.0%	33420	True
ESC_DD3655AA_AS.resul	CHAMPS_Harar	KL2	G2/G3	High	1.9975	13	13	100.0%	33408	True
ESC_DD3656AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Moderate	1.8479	31	33	93.9%	55996	True
ESC_DD3657AA_AS.resul	CHAMPS_Harar	KL128	G2/G3	High	1.9872	11	11	100.0%	27364	True
ESC_DD3658AA_AS.resul	CHAMPS_Harar	KL127	G2/G3	High	1.9969	14	14	100.0%	28330	True
ESC_DD3659AA_AS.resul	CHAMPS_Harar	KL111	G2/G3	High	1.9907	14	14	100.0%	35624	True
ESC_DD3660AA_AS.resul	CHAMPS_Harar	KL12	G2/G3	High	1.9989	12	12	100.0%	32046	True
ESC_DD3661AA_AS.resul	CHAMPS_Harar	KL332	G1/G4	High	1.9838	30	30	100.0%	59388	True
ESC_DD3662AA_AS.resul	CHAMPS_Harar	KL337	G1/G4	Moderate	1.6931	34	38	89.5%	48340	True
ESC_DD3663AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Low	1.2488	24	33	72.7%	37842	True
ESC_DD3664AA_AS.resul	CHAMPS_Harar	KL128	G2/G3	High	1.9872	11	11	100.0%	27364	True
ESC_DD3665AA_AS.resul	CHAMPS_Harar	KL303	G1/G4	Moderate	1.5755	36	40	90.0%	46792	True
ESC_DD3666AA_AS.resul	CHAMPS_Harar	KL128	G2/G3	High	1.9782	11	11	100.0%	27240	True
ESC_DD3667AA_AS.resul	CHAMPS_Harar	KL114	G2/G3	High	1.999	11	11	100.0%	24816	True
ESC_DD3668AA_AS.resul	CHAMPS_Harar	KL12	G2/G3	High	2.0	12	12	100.0%	32064	True
ESC_DD3669AA_AS.resul	CHAMPS_Harar	KL20	G2/G3	High	1.9994	11	11	100.0%	26734	True
ESC_DD3670AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	High	1.9031	32	33	97.0%	57670	True
ESC_DD3671AA_AS.resul	CHAMPS_Harar	KL2	G2/G3	High	1.9971	13	13	100.0%	33402	True
ESC_DD3672AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.7835	31	34	91.2%	54496	True
ESC_DD3673AA_AS.resul	CHAMPS_Harar	KL131	G2/G3	High	1.9875	13	13	100.0%	33336	True
ESC_DD3674AA_AS.resul	CHAMPS_Harar	KL12	G2/G3	High	2.0	12	12	100.0%	32064	True
ESC_DD3675AA_AS.resul	CHAMPS_Harar	KL12	G2/G3	High	1.9996	12	12	100.0%	32058	True
ESC_DD3676AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Low	1.2488	24	33	72.7%	37842	True
ESC_DD3677AA_AS.resul	CHAMPS_Harar	KL96	G2/G3	High	1.9988	17	17	100.0%	41010	True
ESC_DD3678AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Moderate	1.7289	29	33	87.9%	52390	True
ESC_DD3679AA_AS.resul	CHAMPS_Harar	KL115	G2/G3	Moderate	1.8885	13	13	100.0%	31648	True
ESC_DD3680AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.7909	33	34	97.1%	54720	True
ESC_DD3681AA_AS.resul	CHAMPS_Harar	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
ESC_DD3682AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8172	33	34	97.1%	55526	True
ESC_DD3683AA_AS.resul	CHAMPS_Harar	KL374	G1/G4	High	1.9011	27	27	100.0%	52214	True
ESC_DD3684AA_AS.resul	CHAMPS_Harar	KL388	G1/G4	High	1.9909	30	30	100.0%	63252	True
ESC_DD3685AA_AS.resul	CHAMPS_Harar	KL315	G1/G4	Moderate	1.8862	33	33	100.0%	61708	True
ESC_DD3686AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8195	33	34	97.1%	55594	True
ESC_DD3687AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Moderate	1.5174	25	33	75.8%	45982	True
ESC_DD3688AA_AS.resul	CHAMPS_Harar	KL324	G1/G4	High	1.9312	30	30	100.0%	59784	True
ESC_DD3689AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.7833	31	34	91.2%	54490	True
ESC_DD3690AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8078	31	34	91.2%	55236	True
ESC_DD3691AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8244	33	34	97.1%	55746	True
ESC_DD3692AA_AS.resul	CHAMPS_Harar	KL115	G2/G3	High	1.9996	13	13	100.0%	33510	True
ESC_DD3693AA_AS.resul	CHAMPS_Harar	KL135	G2/G3	High	1.9981	11	11	100.0%	25848	True
ESC_DD3694AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8155	31	34	91.2%	55472	True
ESC_DD3695AA_AS.resul	CHAMPS_Harar	KL303	G1/G4	Low	0.6818	21	40	52.5%	20248	True
ESC_DD3696AA_AS.resul	CHAMPS_Harar	KL128	G2/G3	High	1.9872	11	11	100.0%	27364	True
ESC_DD3697AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Low	1.2488	24	33	72.7%	37842	True
ESC_DD3698AA_AS.resul	CHAMPS_Harar	KL12	G2/G3	High	2.0	12	12	100.0%	32064	True
ESC_DD3699AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Moderate	1.5174	25	33	75.8%	45982	True
ESC_DD3700AA_AS.resul	CHAMPS_Harar	KL2	G2/G3	High	1.955	13	13	100.0%	32698	True
ESC_DD3701AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8078	33	34	97.1%	55236	True
ESC_DD3702AA_AS.resul	CHAMPS_Harar	KL337	G1/G4	Moderate	1.6811	34	38	89.5%	47996	True
ESC_DD3703AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Moderate	1.5166	25	33	75.8%	45958	True
ESC_DD3704AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8426	33	34	97.1%	56302	True
ESC_DD3705AA_AS.resul	CHAMPS_Harar	KL114	G2/G3	High	1.9932	11	11	100.0%	24744	True
ESC_DD3706AA_AS.resul	CHAMPS_Harar	KL1	G2/G3	High	1.9538	14	14	100.0%	30672	True
ESC_DD3707AA_AS.resul	CHAMPS_Harar	KL332	G1/G4	High	1.9994	30	30	100.0%	59856	True
ESC_DD3708AA_AS.resul	CHAMPS_Harar	KL302	G1/G4	Moderate	1.8152	33	34	97.1%	55462	True
ESC_DD3709AA_AS.resul	CHAMPS_Harar	KL96	G2/G3	High	1.9988	17	17	100.0%	41010	True
ESC_DD3710AA_AS.resul	CHAMPS_Harar	KL329	G1/G4	High	1.9997	44	44	100.0%	66176	True
ESC_DD3711AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Moderate	1.8033	27	33	81.8%	54646	True
ESC_DD3712AA_AS.resul	CHAMPS_Harar	KL156	G2/G3	High	1.998	15	15	100.0%	34640	True
ESC_DD3713AA_AS.resul	CHAMPS_Harar	KL329	G1/G4	High	1.9997	44	44	100.0%	66176	True
ESC_DD3714AA_AS.resul	CHAMPS_Harar	KL2	G2/G3	High	1.955	13	13	100.0%	32698	True
ESC_DD3715AA_AS.resul	CHAMPS_Harar	KL337	G1/G4	Moderate	1.6668	34	38	89.5%	47590	True
ESC_DD3716AA_AS.resul	CHAMPS_Harar	KL329	G1/G4	High	1.9997	44	44	100.0%	66176	True
ESC_DD3717AA_AS.resul	CHAMPS_Harar	KL1	G2/G3	High	1.9557	14	14	100.0%	30702	True
ESC_DD3718AA_AS.resul	CHAMPS_Harar	KL136	G2/G3	High	1.9978	17	17	100.0%	42684	True
ESC_DD3719AA_AS.resul	CHAMPS_Harar	KL130	G2/G3	High	1.986	13	13	100.0%	27568	True
ESC_DD3720AA_AS.resul	CHAMPS_Harar	KL145	G2/G3	High	1.9909	13	13	100.0%	30120	True
ESC_DD3721AA_AS.resul	CHAMPS_Harar	KL309	G1/G4	High	1.9072	33	33	100.0%	67710	True
ESC_DD3722AA_AS.resul	CHAMPS_Harar	KL7	G2/G3	High	1.9465	15	15	100.0%	33588	True
ESC_DD3723AA_AS.resul	CHAMPS_Harar	KL127	G2/G3	High	1.9977	14	14	100.0%	28342	True
ESC_DD3724AA_AS.resul	CHAMPS_Harar	KL337	G1/G4	Moderate	1.682	34	38	89.5%	48024	True
ESC_DD3725AA_AS.resul	CHAMPS_Harar	KL96	G2/G3	High	1.9988	17	17	100.0%	41010	True
ESC_DD3726AA_AS.resul	CHAMPS_Harar	KL7	G2/G3	High	1.9465	15	15	100.0%	33588	True
ESC_DD3727AA_AS.resul	CHAMPS_Harar	KL156	G2/G3	High	1.998	15	15	100.0%	34640	True
ESC_DD3728AA_AS.resul	CHAMPS_Harar	KL127	G2/G3	High	1.9507	14	14	100.0%	27674	True
ESC_DD3730AA_AS.resul	CHAMPS_Harar	KL138	G2/G3	High	1.9561	12	12	100.0%	29406	True
ESC_DD3731AA_AS.resul	CHAMPS_Harar	KL337	G1/G4	Moderate	1.6741	34	38	89.5%	47798	True
ESC_DD3732AA_AS.resul	CHAMPS_Harar	KL20	G2/G3	High	1.9994	11	11	100.0%	26734	True
ESC_DD3733AA_AS.resul	CHAMPS_Harar	KL308	G1/G4	Moderate	1.5576	41	50	82.0%	56488	True
ESC_DD3734AA_AS.resul	CHAMPS_Harar	KL303	G1/G4	Low	1.4213	35	40	87.5%	42214	True
ESC_DD3735AA_AS.resul	CHAMPS_Harar	KL301	G1/G4	Low	1.2667	24	33	72.7%	38386	True
02593B1_complete	MRCG	KL337	G1/G4	Low	0.8568	22	38	57.9%	24462	True
02604B1_complete	MRCG	KL12	G2/G3	High	1.9996	12	12	100.0%	32058	True
02627B1_complete	MRCG	KL329	G1/G4	High	1.9997	44	44	100.0%	66176	True
03114B1_incomplete	MRCG	KL302	G1/G4	Moderate	1.7982	33	34	97.1%	54944	True
03192B1_complete	MRCG	KL1	G2/G3	High	1.9591	14	14	100.0%	30756	True
04547B1_incomplete	MRCG	KL127	G2/G3	High	1.9494	14	14	100.0%	27656	True
05211B1_complete	MRCG	KL12	G2/G3	High	1.9993	12	12	100.0%	32052	True
05826B1_incomplete	MRCG	KL2	G2/G3	Moderate	1.8578	13	13	100.0%	31072	True
11689B1_complete	MRCG	KL2	G2/G3	High	1.9982	13	13	100.0%	33420	True
11716B1_complete	MRCG	KL2	G2/G3	High	1.9475	13	13	100.0%	32572	True
13431B1_complete	MRCG	KL379	G1/G4	High	1.9944	25	25	100.0%	52436	True
13447B1_complete	MRCG	KL301	G1/G4	Moderate	1.7766	29	33	87.9%	53836	True
19081B1_incomplete	MRCG	KL52	G2/G3	High	2.0	14	14	100.0%	38394	True
19082B1_incomplete	MRCG	KL117	G2/G3	High	1.9987	10	10	100.0%	27546	True
22534B1_complete	MRCG	KL96	G2/G3	High	1.9988	17	17	100.0%	41010	True
22683B1_incomplete	MRCG	KL327	G1/G4	High	1.9146	33	33	100.0%	58752	True
23447B1_incomplete	MRCG	KL2	G2/G3	High	1.9982	13	13	100.0%	33420	True
24144B1_complete	MRCG	KL300	G1/G4	Moderate	1.7304	27	30	90.0%	58656	True
27336B1_complete	MRCG	KL300	G1/G4	Moderate	1.7304	27	30	90.0%	58656	True
27823B1_complete	MRCG	KL7	G2/G3	High	1.999	15	15	100.0%	34494	True
27902B1_incomplete	MRCG	KL121	G2/G3	Low	1.3441	6	9	66.7%	13726	True
28206B1_complete	MRCG	KL2	G2/G3	High	1.9982	13	13	100.0%	33420	True
29598B1_incomplete	MRCG	KL302	G1/G4	Moderate	1.8166	33	34	97.1%	55506	True
29657B1_complete	MRCG	KL363	G1/G4	Moderate	1.8987	26	26	100.0%	54670	True
29769B1_incomplete	MRCG	KL52	G2/G3	High	1.9925	14	14	100.0%	38250	True
32237B1_incomplete	MRCG	KL124	G2/G3	Moderate	1.8948	11	11	100.0%	27546	True
32400B1_complete	MRCG	KL127	G2/G3	High	1.9507	14	14	100.0%	27674	True
32446B1_complete	MRCG	KL1	G2/G3	High	1.9599	14	14	100.0%	30768	True
33498B1_complete	MRCG	KL2	G2/G3	High	1.9982	13	13	100.0%	33420	True
33572B1_complete	MRCG	KL138	G2/G3	High	1.9973	12	12	100.0%	30026	True
38857B1_complete	MRCG	KL128	G2/G3	High	1.9821	11	11	100.0%	27294	True
43158B1_complete	MRCG	KL117	G2/G3	High	1.9991	10	10	100.0%	27552	True
BN01777I1_incomplete	MRCG	KL121	G2/G3	Low	1.3416	6	9	66.7%	13700	True
BN01897I1_incomplete	MRCG	KL337	G1/G4	Moderate	1.5813	32	38	84.2%	45148	True
BN02435I1_incomplete	MRCG	KL302	G1/G4	Moderate	1.5932	30	34	88.2%	48680	True
BN02448I1_complete	MRCG	KL130	G2/G3	High	1.9601	13	13	100.0%	27208	True
BN02530I1_incomplete	MRCG	KL379	G1/G4	High	1.9085	25	25	100.0%	50178	True
BN03019I1_complete	MRCG	KL2	G2/G3	Moderate	1.8578	13	13	100.0%	31072	True
BN03194I1_complete	MRCG	KL2	G2/G3	Moderate	1.8578	13	13	100.0%	31072	True
BN03418I1_incomplete	MRCG	KL379	G1/G4	High	1.9592	25	25	100.0%	51512	True
BN03501I1_incomplete	MRCG	KL2	G2/G3	Moderate	1.8578	13	13	100.0%	31072	True
BN03523I1_incomplete	MRCG	KL300	G1/G4	Low	1.394	22	30	73.3%	47254	True
BN04497I1_complete	MRCG	KL302	G1/G4	Moderate	1.7718	33	34	97.1%	54138	True
BN04654I1_incomplete	MRCG	KL2	G2/G3	Moderate	1.8578	13	13	100.0%	31072	True
BN04724I1_complete	MRCG	KL305	G1/G4	High	1.9993	47	47	100.0%	81216	True
BN05136I1_incomplete	MRCG	KL130	G2/G3	High	1.9728	13	13	100.0%	27384	True
BN05398I1_incomplete	MRCG	KL2	G2/G3	High	1.9986	13	13	100.0%	33426	True
BN06265I1_complete	MRCG	KL2	G2/G3	High	1.9986	13	13	100.0%	33426	True
BN06417I1_incomplete	MRCG	KL300	G1/G4	Moderate	1.7427	26	30	86.7%	59072	True
BN06519I1_complete	MRCG	KL2	G2/G3	High	1.9986	13	13	100.0%	33426	True
BN06536I1_complete	MRCG	KL379	G1/G4	High	1.9953	25	25	100.0%	52460	True
BN06790I1_incomplete	MRCG	KL302	G1/G4	Moderate	1.838	33	34	97.1%	56160	True
BN07404I1_incomplete	MRCG	KL3	G2/G3	High	1.9865	21	21	100.0%	50352	True
BN07627I1_incomplete	MRCG	KL1	G2/G3	High	1.9989	14	14	100.0%	31380	True
BN07951I1_complete	MRCG	KL130	G2/G3	High	1.9856	13	13	100.0%	27562	True
BN08047I1_complete	MRCG	KL2	G2/G3	High	1.9974	13	13	100.0%	33406	True
BN08560I1_incomplete	MRCG	KL302	G1/G4	Moderate	1.8081	33	34	97.1%	55248	True
BN08566I1_complete	MRCG	KL302	G1/G4	Moderate	1.8103	33	34	97.1%	55314	True
BN08697I1_complete	MRCG	KL336	G1/G4	High	1.9578	28	28	100.0%	60408	True
BS10839I1_complete	MRCG	KL114	G2/G3	High	1.9952	11	11	100.0%	24768	True
